城市,X1,X2,X3,X4
北京,15,17.3,8.56,44.94
天津,18,7.99,7.23,17.45
石家庄,18,7.23,8.28,21.56
太原,16,5.06,7.88,20.58
呼和浩特,18,3.81,8.92,26.58
沈阳,15,9.32,6.7,28.36
长春,15,11.87,7.03,18.75
哈尔滨,14,12.75,6.34,18.51
上海,19,14.57,12.92,19.11
南京,16,9.06,12.13,136.72
杭州,17,8.93,6.5,23.19
合肥,17,14.11,15.72,28.74
福州,18,9.65,7.9,31.6
南昌,17,7.37,7.67,23.98
济南,19,7.77,10.62,19.54
郑州,19,10.11,7.63,17.77
武汉,17,6.87,4.16,8.34
长沙,18,10.09,9.1,29.1
广州,17,11.16,12.76,178.76
南宁,18,9.91,9.32,35.12
海口,20,5.09,7.07,15.79
成都,17,8.95,10.17,25.59
贵阳,16,9.37,3.11,105.35
昆明,15,15.33,4.49,23.33
西安,15,7.32,4.48,8.82
兰州,15,10.33,6.3,11.22
西宁,17,11.47,4.92,14.2
银川,15,9.26,10.43,40.21
乌鲁木齐,19,22.89,6.49,20.53
大连,14,13.79,6.24,40.21
宁波,17,9.88,6.81,17.65
厦门,20,15.5,8.15,26.44
青岛,15,14.78,11.41,35.78
深圳,21,114.91,47.29,177.62
重庆,21,4.94,4.24,10.8
